Count,TopTags
167,vlog
119,funny
96,comedy
74,daily
65,fun
63,logan
63,paul
58,hollywood
51,crazy
51,hot
51,vlogger
46,vlogs
45,girls
44,sexy
40,adventure
40,challenge
39,vine
39,logan paul
38,travel
37,instagram
37,disney
36,blog
35,blogs
35,cool
34,kids
