Count,TopTags
422,gaming
161,PlayStation 4
153,Gaming
141,review
140,pc
136,Sony Interactive Entertainment
130,gameplay
125,#PS4Live
108,games
99,2017
98,game
97,gamer
82,funny
72,video games
66,unboxing
64,pc gaming
62,PC
61,intel
61,nvidia
59,minecraft
54,gaming music
54,video game
52,Review
51,gaming pc
49,walking dead
