Count,TopTags
90,foreign
77,2017
73,news
66,Foreign
60,News
58,politics
57,music
46,rap
37,new
37,funny
31,7296272962
29,donald trump
29,Politics
28,Donald Trump
25,video
22,trump
22,Trump
22,China
21,2016
21,foreign policy
21,comedy
21,Russia
20,russia
19,money
19,Rap
