Count,TopTags
217,sports
136,sport
128,2017
115,review
108,football
105,Sports
82,funny
76,Sport
64,basketball
55,Football
54,baseball
53,soccer
52,2016
51,PlayStation 4
50,sports vines
48,top 10
48,highlights
47,#PS4Live
46,top
45,tv
45,sport vines
43,new
43,best
43,fitness
42,test
