Count,TopTags
454,horror
218,scary
181,Horror
165,2017
159,movie
155,film
125,trailer
100,Movie
91,Film
87,official
85,2016
84,horror movie
82,creepy
76,funny
74,gameplay
72,Trailer
68,scary stories
60,game
60,official Trailer
60,true scary stories
60,horror stories
56,ghost
56,PlayStation 4
56,horror movies
52,#PS4Live
