Count,TopTags
304,documentary
224,Documentary
109,2017
83,Documentaries
81,Full Documentary
71,TV Shows - Topic
70,Full length Documentaries
69,Documentary Movies - Topic
69,history documentary
62,news
61,2017 documentary
60,BBC documentary
58,new
57,Channel 4 documentary
56,History
55,documentary history
51,space
47,documentaries
47,history
46,discovery
45,national geographic
44,Real Stories
43,black
42,Amazing Stories
42,death
