Count,TopTags
241,music
124,2017
90,Music
85,music video
77,rap
68,video
57,Music Video
56,song
51,Official Music Video
48,hip hop
43,funny
41,relaxing music
40,best
39,background music
38,the
37,2016
36,official
35,piano
34,meditation music
34,instrumental music
33,Song
32,new
31,of
29,dance
29,trap
